patrick owomoyela	19791105	1.8				1818	patrick owomoyela	
kerrea gilbert	19780915	1.75				8427	kerrea gilbert	
j. bosingwa	19830101	1.75	73			3923	jose bosingwa	
aaron ramsey	19691129	1.8		midfielder		5432	aaron ramsey	
francesco bolzoni	19890507	1.86				11907	francesco bolzoni	
villa	19811203	1.75		forwarder		11080	david villa	
ivan kaviedes	19771024	1.83				7775	ivan kaviedes	
barthez	19710628	1.84	78			3022	fabien barthez	
m. richards	19760505	1.83		defender		11663	micah richards	
m. essien	19821203	1.72	97	midfielder		8557	michael essien	
robert green	19800118	1.91	72			6496	robert green	
scharner	19800311	1.90	80			7848	paul scharner	
r. costa	19411231	1.73				5476	rui costa	
m. gray	19740803	1.96				12215	michael gray	
s. muntari	19840827	1.84				12308	sulley ali muntari	
gary	19890917	1.85				9606	gary mcallister	
mario	19900102	1.89	87			12216	mario gomez	
hernan crespo	19750705	1.92				12309	hernan crespo	
ivan	19770201	1.88				12310	ivan rakitic	
duff	19651130	1.72				6069	damien duff	
bixente	19840329	1.91	99			6199	bixente lizarazu	
e. abidal	19790911	1.7	73			12311	eric abidal	
mears	19830218	1.85	61			3338	tyrone mears	
mario yepes	19760113	1.83	71	defender		3027	mario yepes	
salomon kalou	19850805	1.86		forwarder		4860	salomon kalou	
eric addo	19781112	1.82	70			9070	eric addo	
r. song	19411231	1.83	73			8028	rigobert song	
quim		1.69	81	goalkeeper		12205	quim	
ashley	19870214	1.89	59	goalkeeper		8836	ashley cole	
gael	19800121			defender		12312	gael clichy	
daniel gygax	19730218	1.89	73			12030	daniel gygax	
mullins	19790327	1.72				2322	hayden mullins	
dimitar berbatov		1.91	94			3473	dimitar berbatov	
diarra	19800118	1.8				7778	mahamadou diarra	
cavenaghi	19601109		72			798	fernando cavenaghi	
gary	19781116	1.78				633	gary naysmith	
miguel veloso	19700216	1.80	75	midfielder		1857	miguel veloso	
saviola	19811211		78	forwarder		12152	javier saviola	
nicky butt	19750121	1.91				11203	nicky butt	
j. ruddy	19780311	1.8	71			2721	john ruddy	
ivan	19800129	1.87				12313	ivan klasnic	
morgan de sanctis	19840827	1.90	92			1239	morgan de sanctis	
phil jagielka	19820817	1.8	81			9574	phil jagielka	
diego milito	19590502	1.83				4616	diego milito	
jose	19830901	1.55	79			12314	jose antonio reyes	
g. steinsson	19820109	1.78	57			12315	gretar rafn steinsson	
liam cooper	19910830	1.94				928	liam cooper	
robbie keane	19850328	1.67	59			1009	robbie keane	
steven pienaar	19820317	1.85				11238	steven pienaar	
christoph	19780801	1.86	81			12217	christoph dabrowski	
michael carrick		1.82		midfielder		3705	michael carrick	
a. stolz	19801207	1.89				12003	alexander stolz	
kevin phillips	19821208	1.84	82			283	kevin phillips	
tom heaton	19860415	1.88				7150	tom heaton	
sun	19870228	1.83				12168	sun jihai	
roque santa cruz	19800502	1.87		forwarder		12218	roque santa cruz	
matteo	19700529	1.78				1953	roberto di matteo	
rob	19820608	1.77				5806	rob hulse	
owen hargreaves	19810120	1.69				1317	owen hargreaves	
mcfadden	19830414	1.78	88			5601	james mcfadden	
a. costacurta	19810820	1.89				9188	alessandro costacurta	
f. beckenbauer	19450911	1.85	88			11239	franz beckenbauer	
linderoth	19840823	1.93				5368	tobias linderoth	
angelos charisteas	19800209	1.7	78			12169	angelos charisteas	
w. palacios	19840729	1.78				3075	wilson palacios	
kapo	19760420	1.98				5460	olivier kapo	
bravo	19800304		74			11938	omar bravo	
kim	19411231	1.8		midfielder		12240	kim kallstrom	
pablo zabaleta	19850116	1.82		defender		6750	pablo zabaleta	
m. skrtel	19770817	1.98				12242	martin skrtel	
jean-alain boumsong	19791214	1.91				1808	jean-alain boumsong	
jussi jaaskelainen	19721104	1.91				12243	jussi jaaskelainen	
salif	19770210	2.02				8041	salif diao	
s. eto'o	19700224	1.19	73			8580	samuel eto'o	
lehmann	19691110	1.78				6934	jens lehmann	
nevland	19790118	1.91				362	erik nevland	
mike	19811106	1.85	99			8450	mike hanke	
fabian	19790530	1.86				507	fabian ernst	
makaay		1.87	71			6203	roy makaay	
neil	19700224	1.83	78			1404	neil sullivan	
nicklas bendtner	19880116		74	forwarder		2736	nicklas bendtner	
chapuisat	19690628	2.01				12317	stephane chapuisat	
patrick kluivert	19550925	1.88				4301	patrick kluivert	
rivaldo	19720419	1.86	65			12170	rivaldo	
heidar helguson	19770822	1.78				12366	heidar helguson	
tony warner	19781220	1.73	80			7102	tony warner	
marco cassetti	19770529	1.69				1507	marco cassetti	
elmander	19810527	1.88	66	forwarder		3485	johan elmander	
fiori	19690427		73			6251	valerio fiori	
a. streit	19800328	1.75	70			9597	albert streit	
ioannis amanatidis	19811203		75			3624	ioannis amanatidis	
jeremie aliadiere	19740912	1.73				12244	jeremie aliadiere	
cocu		1.81	80			12245	philip cocu	
christian lell	19740510	1.88	75			7847	christian lell	
carlos	19411231		74			3408	carlos marchena	
david jarolim	19850903	1.93	74			12246	david jarolim	
roy keane	19710810		79			11999	roy keane	
carlo nash	19730913	1.65				5022	carlo nash	
drenthe	19800330	1.67				2799	royston drenthe	
d. mills	19770518	1.78				12219	danny mills	
ireland	19840827	1.78	80			9723	stephen ireland	
pepe	19820831	1.73		defender		12416	pepe	
simon rolfes	19820121	1.91	79			6466	simon rolfes	
renan	19790731	1.91				8091	renan	
pascal chimbonda	19790221	1.68				1984	pascal chimbonda	
sami hyypia	19731007	1.7				12248	sami hyypia	
jose	19870913		62			12249	jose luis chilavert	
mertesacker	19800228	1.78	75	defender		6335	per mertesacker	
d. bergkamp	19810101	1.7				1136	dennis bergkamp	
mineiro		1.82	72			12171	mineiro	
craig fagan	19860104	1.80	95			11759	craig fagan	
eidur gudjohnsen	19780915	1.85				12250	eidur gudjohnsen	
