bakari sagna	19830214	1.76	91			4185	bakari sagna	
owomoyela	19791105	1.87	77			1818	patrick owomoyela	
tristan	19760105	1.86	87			7943	diego tristan	
bosingwa	19820824	1.83	75			3923	jose bosingwa	
aaron ramsey	19901226	2.02	78			5432	aaron ramsey	
francesco bolzoni	19890507	1.8	78			11907	francesco bolzoni	
habib beye	19771019	1.82	94			2284	habib beye	
david villa				forwarder	langreo spain	11080	david villa	
ivan kaviedes	19771024	1.82	71			7775	ivan kaviedes	
barthez	19710628	1.83	76			3022	fabien barthez	
w. sonck	19780809	1.74	60			1913	wesley sonck	
emanuel pogatetz	19830116	1.89	91			10202	emanuel pogatetz	
micah richards	19880624	1.8	87			11663	micah richards	
michael essien	19821203	1.83	97	midfielder	accra ghana	8557	michael essien	
robert green	19800118	1.91	90			6496	robert green	
scharner	19800311	1.91	80			7848	paul scharner	
enckelman	19770310	1.88	98			7285	peter enckelman	
rui costa	19720329	1.8	59			5476	rui costa	
jlloyd	19790524	1.8	76			11411	jlloyd samuel	
sulley ali muntari	19840827	1.79	67			12308	sulley ali muntari	
gomez	19850710	1.89	87	forwarder	riedlingen germany	12216	mario gomez	
crespo	19750705	1.84	78			12309	hernan crespo	
prica	19800630	1.85	80			759	rade prica	
ivan	19880310	1.84	72			12310	ivan rakitic	
duff	19790302	1.78	60			6069	damien duff	
hughes	19760619	1.75	72			5609	bryan hughes	
eric abidal	19791107	1.8	64			12311	eric abidal	
fabricio	19820122	1.83	78			992	fabricio coloccini	
mario	19760113	1.88	103			3027	mario yepes	
s. kalou	19850805	1.75	72			4860	salomon kalou	
ricardo oliveira	19800506	1.83	83			4224	ricardo oliveira	
cronin	19830528	1.88	86			7525	steve cronin	
addo	19781112	1.82	70			9070	eric addo	
r. song	19760107	1.83	81			8028	rigobert song	
quim	19751113	1.97	97			12205	quim	
cole	19801220	1.73	65	goalkeeper	stepney england	8836	ashley cole	
gael	19850726	1.81	72			12312	gael clichy	
daniel gygax	19810828	1.79	77			12030	daniel gygax	
mullins	19790327	1.83	72			2322	hayden mullins	
dimitar berbatov	19811130	1.88	94			3473	dimitar berbatov	
diarra	19810518	1.83	76			7778	mahamadou diarra	
f. cavenaghi	19830921	1.81	91			798	fernando cavenaghi	
gary	19781116	1.7	103			633	gary naysmith	
veloso	19860511	1.8	92			1857	miguel veloso	
javier saviola	19811211	1.68	83			12152	javier saviola	
ivan	19800129	1.82	76			12313	ivan klasnic	
morgan	19770326	1.9	92			1239	morgan de sanctis	
phil	19820817	1.83	103			9574	phil jagielka	
reyes	19830901	1.75	89			12314	jose antonio reyes	
steven pienaar	19820317	1.76	59			11238	steven pienaar	
robbie	19800708	1.75	67			1009	robbie keane	
christoph dabrowski	19780701	1.95	82			12217	christoph dabrowski	
roque santa cruz	19810816	1.89	103			12218	roque santa cruz	
jason roberts	19780123	1.7	95			12316	jason roberts	
rob	19791025	1.85	100			5806	rob hulse	
owen	19810120	1.8	76			1317	owen hargreaves	
james	19830414	1.78	75			5601	james mcfadden	
a. costacurta	19660424	1.82	99			9188	alessandro costacurta	
t. linderoth	19790421	1.76				5368	tobias linderoth	
angelos	19800209	1.9	82			12169	angelos charisteas	
j. thomas	19830323	1.8	80			8595	jerome thomas	
wilson palacios	19840729	1.78				3075	wilson palacios	
kapo	19800927	1.84	88			5460	olivier kapo	
corradi	19760330	1.9	61			841	bernardo corradi	
omar bravo	19800304	1.69	86			11938	omar bravo	
kim kallstrom	19820824	1.81	79			12240	kim kallstrom	
skrtel	19841215	1.91	79			12242	martin skrtel	
j. boumsong	19791214	1.9	78			1808	jean-alain boumsong	
jussi	19750417	1.91	64			12243	jussi jaaskelainen	
samuel eto'o	19810310	1.19	75			8580	samuel eto'o	
salif diao	19770210	1.83	78			8041	salif diao	
lehmann	19691110	1.9	61			6934	jens lehmann	
m. hanke	19831105	1.8	72			8450	mike hanke	
aaron hughes	19791108	1.83	87			8647	aaron hughes	
makaay	19750309	1.88	88			6203	roy makaay	
neil sullivan	19700224	1.83	87			1404	neil sullivan	
nicklas bendtner	19880116	1.93	76			2736	nicklas bendtner	
patrick kluivert	19760701	1.88	83			4301	patrick kluivert	
t. warner	19740511	1.92	102			7102	tony warner	
cassetti	19770529	1.87	80			1507	marco cassetti	
j. elmander	19810527	1.88	84			3485	johan elmander	
albert streit	19800328	1.8	57			9597	albert streit	
ioannis	19811203	1.8	99			3624	ioannis amanatidis	
jeremie aliadiere	19830330	1.81	70			12244	jeremie aliadiere	
philip cocu	19701029	1.82	92			12245	philip cocu	
christian lell	19840829	1.8	80			7847	christian lell	
carlos marchena	19790731	1.83	93			3408	carlos marchena	
david	19790517	1.76	68			12246	david jarolim	
roy keane	19710810	1.78	81			11999	roy keane	
carlo nash	19730913	1.96	89			5022	carlo nash	
royston	19870408	1.67	63			2799	royston drenthe	
danny mills	19770518	1.8	183			12219	danny mills	
stephen ireland	19880822	1.73	103			9723	stephen ireland	
pepe	19830226	1.91		defender	maceia brasil portugal	12416	pepe	
simon rolfes	19821221	1.89	79			6466	simon rolfes	
sami hyypia	19731007	1.93	97			12248	sami hyypia	
pascal chimbonda	19790221	1.82	62			1984	pascal chimbonda	
renan	19850124	1.84	85			8091	renan	
p. mertesacker	19840929	1.96	102			6335	per mertesacker	
mineiro		1.69	65			12171	mineiro	
craig fagan	19821211	1.8	95			11759	craig fagan	
frank baumann	19751029	1.87	79			2716	frank baumann	
eidur gudjohnsen	19780917	1.85	82			12250	eidur gudjohnsen	
david murphy	19840601	1.87	183			12367	david murphy	
paul	19860106	1.96	61			12368	paul mcshane	
wellington luis de sousa	19880211	1.97	100			12212	wellington luis de sousa	
myhill	19821109	1.19	81			475	boaz myhill	
titus bramble	19810721	1.85	87			9936	titus bramble	
nigel quashie	19780720	1.75	93			10851	nigel quashie	
rafael van der vaart	19830211	1.75	61			1081	rafael van der vaart	
jack rodwell	19910311	1.88				8874	jack rodwell	
jamie	19801130	1.78	90			4798	jamie ashdown	
osman	19810517	1.73	68			2771	leon osman	
m. ballack	19760926	1.89	65			1001	michael ballack	
georgios samaras	19850221	1.93	59			4704	georgios samaras	
simone inzaghi	19760405	1.83	75			3369	simone inzaghi	
r. savage	19741218	1.83	90			1193	robbie savage	
giuseppe favalli	19720108	1.82	73			11951	giuseppe favalli	
kevin	19830918	1.8	62			7213	kevin doyle	
christoph spycher	19780330	1.75	78			2712	christoph spycher	
s. giannakopoulos	19740712	1.75	72			3078	stelios giannakopoulos	
j. jones	19811103	1.84	81			11942	jermaine jones	
candela	19731024	1.8	81			5865	vincent candela	
barry ferguson	19780202	1.78	71			604	barry ferguson	
p. evra	19810515	1.73	65			12220	patrice evra	
h. westermann	19830814	1.9	87			276	heiko westermann	
speed	19690908	1.78	81			11752	gary speed	
stephen	19811212	1.78	92			3311	stephen warnock	
scott parker	19801013	1.75	60			3150	scott parker	
anichebe	19880423	1.9	89			10361	victor anichebe	
lee martin	19870209	1.85	65			7126	lee martin	
a. stokes	19880725	1.8	94			12369	anthony stokes	
t. kupisz	19900102	1.8	76			6835	tomasz kupisz	
jonathan zebina	19780719	1.84	80			12221	jonathan zebina	
antonio	19700630	1.84	83			9679	antonio chimenti	
shola ameobi	19811012	1.88	76			5579	shola ameobi	
nigel	19841130	1.74	72			4589	nigel de jong	
acimovic	19770215	1.86	80			12370	milenko acimovic	
thomas	19820405	1.83	100			5287	thomas hitzlsperger	
c. klein	19760104	1.85	82			12371	chris klein	
brown	19791013	1.83	86			8073	wes brown	
massimo maccarone	19790906	1.8	89			9055	massimo maccarone	
john arne riise	19800924	1.85	77			8548	john arne riise	
mario	19761104	1.87	74			11665	mario melchiot	
tomas rosicky	19801004	1.79	90			12372	tomas rosicky	
john	19810430	1.91	91			3316	john o'shea	
antoine sibierski	19740805	1.87	80			5574	antoine sibierski	
m. vaio	19760715	1.78	76			8009	marco di vaio	
scott carson	19850903	1.9	67			2311	scott carson	
