p. owomoyela	19791105	1.87	77			1818	patrick owomoyela	
j. bosingwa	19820824	1.83	75			3923	jose bosingwa	
aaron ramsey	19901226	2.02	76		caerphilly wales	5432	aaron ramsey	
francesco bolzoni	19890507	1.8	69			11907	francesco bolzoni	
y. benayoun	19800505	1.78	70			11502	yossi benayoun	
h. beye	19771019	1.82	94			2284	habib beye	
goran pandev	19830727	1.84	63			7692	goran pandev	
w. sonck	19780809	1.74	75			1913	wesley sonck	
carlos alberto	19841211	1.77	79			10948	carlos alberto	
antonio cassano	19820712	1.75	78			6680	antonio cassano	
park ji-sung	19810225	1.73	86			3220	park ji-sung	
glen little	19751015	1.91	95			9688	glen little	
ricardo quaresma	19830926	1.73	67			11126	ricardo quaresma	
john	19801207	1.88	90		barking england	6739	john terry	
richards	19880624	1.8	83		birmingham england	11663	micah richards	
michael	19821203	1.8	78		accra ghana	8557	michael essien	
francesco toldo	19711202	1.96	90			6603	francesco toldo	
vladimir smicer	19730524	1.81	77			12329	vladimir smicer	
scharner	19800311	1.91	80			7848	paul scharner	
j. samuel	19810329	1.8	72			11411	jlloyd samuel	
t. hildebrand	19790405	1.85	62		worms west germany	2710	timo hildebrand	
s. muntari	19840827	1.79	67			12308	sulley ali muntari	
alessandro nesta	19760319	1.87	79			7139	alessandro nesta	
hamit altintop	19821208	1.83	90		gelsenkirchen west germany	12331	hamit altintop	
etuhu	19820608	1.88	83			2850	dickson etuhu	
mario	19850710	1.89	87			12216	mario gomez	
damien duff	19790302	1.78	79			6069	damien duff	
chris eagles	19851119	1.83	70			11504	chris eagles	
bryan	19760619	1.78	72			5609	bryan hughes	
johann vogel	19770308	1.75	94			8559	johann vogel	
e. abidal	19790711	1.86	64			12311	eric abidal	
jacques abardonado	19780527	1.83	61			4966	jacques abardonado	
mears	19830218	1.82	90			3338	tyrone mears	
miroslav klose	19780609	1.82	81			7530	miroslav klose	
d. srna	19820501	1.78	98		metkovic yugoslavia	518	darijo srna	
daniel majstorovic	19770405	1.9	67			12333	daniel majstorovic	
younes kaboul	19860104	1.9	74			12272	younes kaboul	
cicinho	19800624	1.72	68			12180	cicinho	
christian pander	19830828	1.86	87			5499	christian pander	
m. borriello	19820618	1.55	73			3352	marco borriello	
brian ching	19780524	1.85	72			8310	brian ching	
segundo castillo	19820515	1.8	100			4843	segundo castillo	
joaquin	19840820	1.98	82			12181	joaquin	
eric addo	19781112	1.82	70			9070	eric addo	
markus rosenberg	19820927	1.85	76			5914	markus rosenberg	
quim	19751113	1.97	90		vila nova famalicao portugal	12205	quim	
ciprian marica	19851002	1.82	87		bucharest romania	4951	ciprian marica	
kevin davies	19770326	1.83	99			7811	kevin davies	
cole	19801220	1.52	65		stepney england	8836	ashley cole	
c. fritz	19801207	1.83	77			9536	clemens fritz	
clichy	19850726	1.73	69		toulouse france	12312	gael clichy	
mladen petric	19810101	1.84	66			12334	mladen petric	
dimitar	19810130	1.89	94			3473	dimitar berbatov	
mahamadou diarra	19810518	1.83	89			7778	mahamadou diarra	
valente	19740912	1.8	62			8402	nuno valente	
claude davis	19790306	1.91	183			5360	claude davis	
robinho	19840125	1.72	66		sao vicente brazil	12182	robinho	
fernando cavenaghi	19830921	1.81	91			798	fernando cavenaghi	
dario simic	19751112	1.8	74			12335	dario simic	
miguel veloso	19860511	1.8	92		coimbra portugal	1857	miguel veloso	
ivan klasnic	19800129	1.86	63			12313	ivan klasnic	
jonathan spector	19860301	1.82	76			10978	jonathan spector	
carlos villanueva	19860205	1.73	71			12396	carlos villanueva	
fabrice	19880406	1.88	78			1393	fabrice muamba	
tomasz kuszczak	19820320	1.9	65			2536	tomasz kuszczak	
morgan de sanctis	19770326	1.9	92			1239	morgan de sanctis	
diego milito	19790612	1.83	78			4616	diego milito	
jose antonio reyes	19830901	1.75	89			12314	jose antonio reyes	
robbie keane	19800708	1.75	74			1009	robbie keane	
c. dabrowski	19780701	1.95	82			12217	christoph dabrowski	
john carew	19790905	1.95	98			11694	john carew	
david weir	19700510	1.93	86			12397	david weir	
m. carrick	19810728	1.86	67		wallsend england	3705	michael carrick	
leon andreasen	19830423	1.88	103			9807	leon andreasen	
shaun maloney	19830124	1.7	77			10338	shaun maloney	
shorey	19810219	1.75	78			11314	nicky shorey	
roque santa cruz	19810816	1.89	80		asuncion paraguay	12218	roque santa cruz	
claude makelele	19730218	1.74	67			12338	claude makelele	
georg niedermeier	19860226	1.88	67			95	georg niedermeier	
jason roberts	19780125	1.7	95			12316	jason roberts	
adu	19890602	1.73	88			1575	freddy adu	
olivera	19830504	1.82	100			12339	ruben olivera	
gary neville	19750218	1.79	80			6904	gary neville	
nuno gomes	19760705	1.81	59			5517	nuno gomes	
johan djourou	19870118	1.83	83			8945	johan djourou	
james mcfadden	19830414	1.78	88			5601	james mcfadden	
nikola zigic	19800925	2.02	90			12340	nikola zigic	
kolo toure	19810319	1.82	76			12277	kolo toure	
anthony gardner	19800919	1.96	68			5791	anthony gardner	
marcell jansen	19851104	1.9	98			8022	marcell jansen	
jerome thomas	19830323	1.78	80			8595	jerome thomas	
w. palacios	19840729	1.78	102			3075	wilson palacios	
juninho	19750130	1.78	82			12183	juninho	
kapo	19800927	1.83	72			5460	olivier kapo	
steve finnan	19760420	1.83	81			9989	steve finnan	
tony hibbert	19810220	1.73	79			10195	tony hibbert	
behrami	19850419	1.86	71			6434	valon behrami	
omar bravo	19800304	1.69	59			11938	omar bravo	
kim kallstrom	19820824	1.81	92		sandviken sweden	12240	kim kallstrom	
martin	19841215	1.91	79			12242	martin skrtel	
philipp degen	19830215	1.85	67			46	philipp degen	
kitson	19800121	1.91	70			5604	dave kitson	
antonio valencia	19850805	1.78	99		nueva loja ecuador	4535	antonio valencia	
ze roberto	19740706	1.72	72			12278	ze roberto	
samuel eto'o	19810310	1.19	75			8580	samuel eto'o	
diao	19770210	1.85	78			8041	salif diao	
jens lehmann	19691110	1.9	73			6934	jens lehmann	
d. agger	19841212	1.88	70			6422	daniel agger	
aaron hughes	19791108	1.85	87			8647	aaron hughes	
f. ernst	19790530	1.83	91			507	fabian ernst	
makaay	19750309	1.88	88			6203	roy makaay	
nicklas bendtner	19880116	1.91	76		copenhagen denmark	2736	nicklas bendtner	
giampaolo pazzini	19840802	1.8	77		pescia italy	6678	giampaolo pazzini	
vincenzo iaquinta	19791121	1.91	84			8982	vincenzo iaquinta	
marco	19770529	1.87	80			1507	marco cassetti	
johan elmander	19810527	1.88	66		alingsas sweden	3485	johan elmander	
