p. owomoyela	19791105	1.87	77			1818	patrick owomoyela	
jose	19820824	1.83	75			3923	jose bosingwa	
aaron	19901226	2.02	76		caerphilly wales	5432	aaron ramsey	
f. bolzoni	19890507	1.8	69			11907	francesco bolzoni	
yossi	19800505	1.78	70			11502	yossi benayoun	
beye	19771019	1.82	94			2284	habib beye	
g. pandev	19830727	1.84	63			7692	goran pandev	
w. sonck	19780809	1.74	75			1913	wesley sonck	
c. alberto	19841211	1.77	79			10948	carlos alberto	
a. cassano	19820712	1.75	78			6680	antonio cassano	
park ji-sung	19810225	1.73	86			3220	park ji-sung	
g. little	19751015	1.91	95			9688	glen little	
r. quaresma	19830926	1.73	67			11126	ricardo quaresma	
john	19801207	1.88	90		barking england	6739	john terry	
m. richards	19880624	1.8	83		birmingham england	11663	micah richards	
michael	19821203	1.8	78		accra ghana	8557	michael essien	
toldo	19711202	1.96	90			6603	francesco toldo	
vladimir smicer	19730524	1.81	77			12329	vladimir smicer	
paul scharner	19800311	1.91	80			7848	paul scharner	
jlloyd	19810329	1.8	72			11411	jlloyd samuel	
timo	19790405	1.85	62		worms west germany	2710	timo hildebrand	
muntari	19840827	1.79	67			12308	sulley ali muntari	
alessandro	19760319	1.87	79			7139	alessandro nesta	
h. altintop	19821208	1.83	90		gelsenkirchen west germany	12331	hamit altintop	
dickson etuhu	19820608	1.88	83			2850	dickson etuhu	
m. gomez	19850710	1.89	87			12216	mario gomez	
damien	19790302	1.78	79			6069	damien duff	
eagles	19851119	1.83	70			11504	chris eagles	
b. hughes	19760619	1.78	72			5609	bryan hughes	
j. vogel	19770308	1.75	94			8559	johann vogel	
eric abidal	19790711	1.86	64			12311	eric abidal	
abardonado	19780527	1.83	61			4966	jacques abardonado	
mears	19830218	1.82	90			3338	tyrone mears	
miroslav klose	19780609	1.82	81			7530	miroslav klose	
darijo srna	19820501	1.78	98		metkovic yugoslavia	518	darijo srna	
majstorovic	19770405	1.9	67			12333	daniel majstorovic	
younes kaboul	19860104	1.9	74			12272	younes kaboul	
cicinho	19800624	1.72	68			12180	cicinho	
pander	19830828	1.86	87			5499	christian pander	
marco borriello	19820618	1.55	73			3352	marco borriello	
brian ching	19780524	1.85	72			8310	brian ching	
segundo	19820515	1.8	100			4843	segundo castillo	
joaquin	19840820	1.98	82			12181	joaquin	
e. addo	19781112	1.82	70			9070	eric addo	
markus rosenberg	19820927	1.85	76			5914	markus rosenberg	
quim	19751113	1.97	90		vila nova famalicao portugal	12205	quim	
c. marica	19851002	1.82	87		bucharest romania	4951	ciprian marica	
kevin davies	19770326	1.83	99			7811	kevin davies	
a. cole	19801220	1.52	65		stepney england	8836	ashley cole	
