patrick owomoyela	19791105	1.8				1818	patrick owomoyela	
k. gilbert	19780915	1.75				8427	kerrea gilbert	
jose bosingwa	19830101	1.75	73			3923	jose bosingwa	
aaron ramsey	19691129	1.8		midfielder		5432	aaron ramsey	
f. bolzoni	19890507	1.86				11907	francesco bolzoni	
d. villa	19811203	2.02		forwarder		11080	david villa	
kaviedes	19771024	1.93				7775	ivan kaviedes	
fabien	19710628	1.84	78			3022	fabien barthez	
micah richards	19760505	1.83		defender		11663	micah richards	
essien	19821203	1.72	97	midfielder		8557	michael essien	
r. green	19800118	1.91	72			6496	robert green	
paul	19800311	1.90	80			7848	paul scharner	
costa	19411231	1.73				5476	rui costa	
michael gray	19740803	1.96				12215	michael gray	
sulley ali muntari	19840827	1.84				12308	sulley ali muntari	
g. mcallister	19890917	1.85				9606	gary mcallister	
mario gomez	19900102	2.01	87			12216	mario gomez	
hernan	19750705	1.92				12309	hernan crespo	
ivan	19770201	1.88				12310	ivan rakitic	
damien duff	19651130	1.72				6069	damien duff	
lizarazu	19840329	1.91	99			6199	bixente lizarazu	
eric abidal	19790911	1.7	73			12311	eric abidal	
tyrone mears	19830218	1.85	61			3338	tyrone mears	
yepes	19760113	1.83	71	midfielder		3027	mario yepes	
s. kalou	19850805	1.86		forwarder		4860	salomon kalou	
e. addo	19860618	1.82	70			9070	eric addo	
rigobert	19411231	1.83	73			8028	rigobert song	
quim		1.69	81	goalkeeper		12205	quim	
ashley cole	19870214	1.89	59	goalkeeper		8836	ashley cole	
g. clichy	19800121			defender		12312	gael clichy	
daniel gygax	19730218	1.89	73			12030	daniel gygax	
hayden mullins	19790327	1.72				2322	hayden mullins	
dimitar berbatov		1.91	94			3473	dimitar berbatov	
m. diarra	19800118	1.8				7778	mahamadou diarra	
fernando cavenaghi	19601109		72			798	fernando cavenaghi	
g. naysmith	19801130	1.78				633	gary naysmith	
miguel veloso	19700216	1.80	75	midfielder		1857	miguel veloso	
javier saviola	19811211		78	forwarder		12152	javier saviola	
