patrick	19791105	1.8				1818	patrick owomoyela	
kerrea	19780915	1.75				8427	kerrea gilbert	
jose bosingwa	19830101	1.75	73			3923	jose bosingwa	
a. ramsey	19691129	1.8		midfielder		5432	aaron ramsey	
francesco	19890507	1.86				11907	francesco bolzoni	
david	19811203	1.75		forwarder		11080	david villa	
ivan kaviedes	19771024	1.83				7775	ivan kaviedes	
fabien	19710628	1.84	78			3022	fabien barthez	
micah richards	19760505	1.83		defender		11663	micah richards	
m. essien	19821203	1.72	97	midfielder		8557	michael essien	
green	19800118	1.91	72			6496	robert green	
scharner	19800311	1.90	80			7848	paul scharner	
rui	19411231	1.73				5476	rui costa	
michael gray	19740803	1.96				12215	michael gray	
sulley ali muntari	19840827	1.84				12308	sulley ali muntari	
mcallister	19890917	1.85				9606	gary mcallister	
mario	19900102	1.89	87			12216	mario gomez	
hernan crespo	19750705	1.92				12309	hernan crespo	
ivan	19770201	1.88				12310	ivan rakitic	
damien duff	19651130	1.72				6069	damien duff	
lizarazu	19840329	1.91	99			6199	bixente lizarazu	
eric abidal	19790911	1.7	73			12311	eric abidal	
t. mears	19830218	1.85	61			3338	tyrone mears	
m. yepes	19760113	1.83	71	defender		3027	mario yepes	
kalou	19850805	1.86		forwarder		4860	salomon kalou	
eric addo	19781112	1.82	70			9070	eric addo	
rigobert song	19411231	1.83	73			8028	rigobert song	
quim		1.69	81	goalkeeper		12205	quim	
ashley	19870214	1.89	59	goalkeeper		8836	ashley cole	
gael clichy	19800121			defender		12312	gael clichy	
gygax	19730218	1.89	73			12030	daniel gygax	
hayden mullins	19790327	1.72				2322	hayden mullins	
berbatov		1.91	94			3473	dimitar berbatov	
mahamadou diarra	19800118	1.8				7778	mahamadou diarra	
fernando cavenaghi	19601109		72			798	fernando cavenaghi	
gary	19781116	1.78				633	gary naysmith	
miguel veloso	19700216	1.80	75	midfielder		1857	miguel veloso	
javier	19811211		78	forwarder		12152	javier saviola	
n. butt	19750121	1.91				11203	nicky butt	
john ruddy	19780311	1.8	71			2721	john ruddy	
i. klasnic	19800129	1.87				12313	ivan klasnic	
morgan de sanctis	19840827	1.90	92			1239	morgan de sanctis	
p. jagielka	19820817	1.8	81			9574	phil jagielka	
diego milito	19590502	1.83				4616	diego milito	
jose antonio reyes	19830901	1.55	79			12314	jose antonio reyes	
gretar	19820109	1.78	57			12315	gretar rafn steinsson	
cooper	19910830	1.94				928	liam cooper	
keane	19850328	1.67	59			1009	robbie keane	
s. pienaar	19820317	1.85				11238	steven pienaar	
christoph	19780801	1.86	81			12217	christoph dabrowski	
m. carrick		1.82		midfielder		3705	michael carrick	
stolz	19801207	1.89				12003	alexander stolz	
phillips	19821208	1.84	82			283	kevin phillips	
t. heaton	19860415	1.88				7150	tom heaton	
sun jihai	19870228	1.83				12168	sun jihai	
roque	19800502	1.87		forwarder		12218	roque santa cruz	
roberto di matteo	19700529	1.78				1953	roberto di matteo	
r. hulse	19820608	1.77				5806	rob hulse	
owen hargreaves	19810120	1.69				1317	owen hargreaves	
james	19830414	1.78	88			5601	james mcfadden	
a. costacurta	19810820	1.89				9188	alessandro costacurta	
franz	19450911	1.85	88			11239	franz beckenbauer	
linderoth	19840823	1.93				5368	tobias linderoth	
a. charisteas	19800209	1.7	78			12169	angelos charisteas	
palacios	19840729	1.78				3075	wilson palacios	
olivier kapo	19760420	1.98				5460	olivier kapo	
omar	19800304		74			11938	omar bravo	
k. kallstrom	19411231	1.8		midfielder		12240	kim kallstrom	
pablo	19850116	1.82		defender		6750	pablo zabaleta	
m. skrtel	19770817	1.98				12242	martin skrtel	
jean-alain boumsong	19791214	1.91				1808	jean-alain boumsong	
jussi	19721104	1.91				12243	jussi jaaskelainen	
salif diao	19770210	2.02				8041	salif diao	
samuel	19700224	1.19	73			8580	samuel eto'o	
lehmann	19691110	1.78				6934	jens lehmann	
erik nevland	19790118	1.91				362	erik nevland	
m. hanke	19811106	1.85	99			8450	mike hanke	
ernst	19790530	1.86				507	fabian ernst	
r. makaay		1.87	71			6203	roy makaay	
sullivan	19700224	1.83	78			1404	neil sullivan	
nicklas bendtner	19880116		74	forwarder		2736	nicklas bendtner	
s. chapuisat	19690628	2.01				12317	stephane chapuisat	
p. kluivert	19550925	1.88				4301	patrick kluivert	
rivaldo	19720419	1.86	65			12170	rivaldo	
heidar helguson	19770822	1.78				12366	heidar helguson	
tony warner	19781220	1.73	80			7102	tony warner	
marco	19770529	1.69				1507	marco cassetti	
johan elmander	19810527	1.88	66	forwarder		3485	johan elmander	
