kirkland		1.9	84			2519	chris kirkland	
bakari	19830214	1.76	72			4185	bakari sagna	
r. pires	19731029	1.8	74			12284	robert pires	
c. eichner	19821124	1.83	76			6406	christian eichner	
sebastian boenisch	19870201	1.91	65			8658	sebastian boenisch	
stankovic	19780911	1.81	79			12347	dejan stankovic	
manuel pasqual	19820313	1.78	71			5341	manuel pasqual	
wiltord	19740510	1.74	76			306	sylvain wiltord	
benayoun	19800505	1.78	85			11502	yossi benayoun	
habib	19771019	1.82	79			2284	habib beye	
villa	19811203	1.75	69			11080	david villa	
stilian	19790705	1.8	77			12258	stilian petrov	
c. alberto	19841211	1.93	79			10948	carlos alberto	
pogatetz	19830116	1.87	91			10202	emanuel pogatetz	
inamoto	19790918	1.81	75			2763	junichi inamoto	
rod	19811206	1.86	183			9908	rod fanni	
park	19810225	1.75	70			3220	park ji-sung	
antonio	19820712	1.75	70			6680	antonio cassano	
grosso	19771128	1.85	74			3385	fabio grosso	
bradley	19870731	1.85	74			12379	michael bradley	
luke		1.8	76			4070	luke moore	
micah richards		1.77	87			11663	micah richards	
piotr trochowski	19840322	1.68	68			9356	piotr trochowski	
francesco	19711202	1.96	90			6603	francesco toldo	
gilardino	19820705	1.84	79			8144	alberto gilardino	
green		1.91	93			6496	robert green	
paul scharner	19800311	1.91	82			7848	paul scharner	
torsten	19761122	1.82	80			7370	torsten frings	
babic	19810128	1.65	72			12408	marko babic	
sebastian	19850606	1.79	71			4196	sebastian larsson	
lee bowyer		1.76	68			8819	lee bowyer	
t. hildebrand	19790405	1.85	75			2710	timo hildebrand	
sulley ali muntari	19840827	1.79	67			12308	sulley ali muntari	
daniel	19820525	1.84	85			9068	daniel braaten	
mancini	19800801	1.92	102			12214	mancini	
fellaini	19871122	1.94	85			4215	marouane fellaini	
alessandro nesta	19760319	1.87	79			7139	alessandro nesta	
frederic	19770902	1.92	82			12330	frederic kanoute	
h. altintop	19821208	1.82	82			12331	hamit altintop	
dickson etuhu	19820608	1.87	87			2850	dickson etuhu	
gomez	19850710	1.87	79			12216	mario gomez	
hernan	19750705	1.84	80			12309	hernan crespo	
veron	19750309	1.86	80			12289	juan sebastian veron	
w. sneijder	19840609	1.7	67			1623	wesley sneijder	
a. hunt	19860904	1.83	70			7762	aaron hunt	
brede	19810620	1.95	85			11540	brede hangeland	
abardonado	19780527	1.83	79			4966	jacques abardonado	
dudek	19730323	1.87	80			1684	jerzy dudek	
j. greening		1.84	70			1673	jonathan greening	
bojinov	19860215	1.8	78			8938	valeri bojinov	
coloccini	19820122	1.83	78			992	fabricio coloccini	
m. klose	19780609	1.82	74			7530	miroslav klose	
yepes	19760113	1.86	103			3027	mario yepes	
arca	19810131	1.75	73			6374	julio arca	
emerton	19790222	1.85	85			281	brett emerton	
dion dublin		1.87	78			1752	dion dublin	
tranquillo barnetta	19850522	1.76	62			4661	tranquillo barnetta	
x. alonso	19811125	1.83	75			10271	xabi alonso	
joaquin	19810721	1.98	75			12181	joaquin	
marco	19800722	1.75	66			7319	marco marchionni	
paolo	19810626	1.84	80			3703	paolo cannavaro	
angelos	19760131	1.75	76			398	angelos basinas	
marius	19810516	1.88	93			11384	marius niculae	
ryan		1.55	65			2636	ryan taylor	
zenden	19760815	1.74	70			2911	boudewijn zenden	
m. rosenberg	19820927	1.78	74			5914	markus rosenberg	
marica	19851002	1.82	72			4951	ciprian marica	
oliver	19730501	1.71	64			6871	oliver neuville	
fowler		1.8	96			7307	robbie fowler	
fritz	19801207	1.82	74			9536	clemens fritz	
daniel gygax	19810828	1.79	68			12030	daniel gygax	
andrew johnson		1.68	57			12224	andrew johnson	
mladen petric	19810101	1.85	77			12334	mladen petric	
dimitar	19810130	1.88	79			3473	dimitar berbatov	
diarra	19810518	1.83	89			7778	mahamadou diarra	
filippo	19730809	1.94	74			3111	filippo inzaghi	
robinho	19840125	1.72	60			12182	robinho	
tim	19811217	1.93	91			8106	tim wiese	
joan capdevila	19780302	1.82	76			4077	joan capdevila	
nicky butt		1.78	83			11203	nicky butt	
j. spector	19860103	1.81	80			10978	jonathan spector	
puyol	19780413	1.78	80			11198	carles puyol	
carlos	19860205	1.73	70			12396	carlos villanueva	
morgan	19770326	1.9	86			1239	morgan de sanctis	
lukas podolski	19850604	1.8	80			8588	lukas podolski	
diego	19790612	1.79	78			4616	diego milito	
e. heskey		1.89	84			1057	emile heskey	
m. niang	19791013	1.78	89			2956	mamadou niang	
nuri sahin	19880905	1.79	65			12337	nuri sahin	
javier mascherano	19840608	1.73	74			1647	javier mascherano	
b. schweinsteiger	19840801	1.8	76			7333	bastian schweinsteiger	
pienaar	19820317	1.76	66			11238	steven pienaar	
konchesky		1.78	66			11064	paul konchesky	
kuranyi	19820302	1.9	80			12290	kevin kuranyi	
christoph	19780701	1.95	83			12217	christoph dabrowski	
sergio aguero	19880602	1.74	75			12291	sergio aguero	
tim cahill	19791206	1.78	68			1205	tim cahill	
a. pato	19890902	1.79	71			10728	alexandre pato	
n. vidic	19811021	1.88	84			12351	nemanja vidic	
joseph	19800906	1.85	76			552	joseph yobo	
joe		1.91	83			6881	joe hart	
zamora		1.85	85			12053	bobby zamora	
howard	19790306	1.92	95			5146	tim howard	
nicky		1.75	78			11314	nicky shorey	
distin	19771216	1.91	88			5927	sylvain distin	
maxwell	19810827	1.96	73			12209	maxwell	
b. mendy	19810820	1.8	77			10600	bernard mendy	
claude makelele	19730218	1.74	70			12338	claude makelele	
